state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,date,year,month,day,weekday,is_wave1,is_wave2
NH,0,0,26,0,3,23,0.0,8,2559,26,1934,26,6.0,8,3,26,3.0,23,0,26,0.0,8,157,26,1.0,8,3,26,14.0,23,14,26,1.0,8,0,26,230,26,0.755763970300899,26,1934,2559,0.007989347536618,8.0,6.0,751.0,0.006018054162487,8.0,6.0,997.0,0.009174311926606,8.0,1.0,109.0,0.682608695652174,26,157,230,,0,26,0.0,26,0.0,26,0.0,26,1.0,26,1.0,26,1.0,26,0.0,26,0,26,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,2.0,8,0.0,8,1.0,8,0.0,9,0.0,3,,,,,,,0,26,0,26,0.0,3,0.0,3,2,0.0,3,26,23,26,71,26,0,26,0.0,26,0.0,26,0,26,0,26,6,26,8,26,2024-04-27,2024,4,27,Saturday,0,0
GA,3,16,119,2,98,38,2.0,44,21114,138,15711,138,80.0,42,16,138,25.0,45,5,135,0.0,42,1964,138,22.0,42,31,138,79.0,42,134,138,1.0,42,6,135,2560,138,0.74410343847684,138,15711,21114,0.013764624913971,42.0,80.0,5812.0,0.01025641025641,42.0,80.0,7800.0,0.017585931254996,42.0,22.0,1251.0,0.7671875,138,1964,2560,,0,138,0.0,133,1.0,132,1.0,133,1.0,133,3.0,133,3.0,133,6.0,133,1,138,0.0,45,1.0,44,0.0,44,3.0,44,5.0,44,5.0,44,6.0,44,5.0,44,0.0,45,0.0,26,33.0,0.0,32.0,0.0,0.0,0.0,106,138,6,138,0.0,42,0.0,42,139,0.0,42,138,952,135,1388,135,1,135,2.0,130,2.0,129,0,135,3,135,266,135,380,135,2024-04-27,2024,4,27,Saturday,0,0
SD,0,0,62,0,52,10,0.0,7,2198,62,1340,62,1.0,8,0,62,0.0,11,0,59,0.0,8,108,62,1.0,8,2,62,1.0,8,11,62,0.0,8,0,59,238,62,0.609645131938126,62,1340,2198,0.002409638554217,8.0,1.0,415.0,0.00187969924812,8.0,1.0,532.0,0.011764705882353,8.0,1.0,85.0,0.453781512605042,62,108,238,,0,62,0.0,50,0.0,50,0.0,50,0.0,50,0.0,50,0.0,50,0.0,50,0,62,0.0,11,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,11,,0,157.0,,66.0,0.0,,0.0,0,62,1,62,0.0,1,0.0,1,6,0.0,1,62,75,59,143,59,0,59,0.0,47,0.0,47,0,59,0,59,8,59,22,59,2024-04-27,2024,4,27,Saturday,0,0
PR,0,2,61,0,4,59,0.0,3,8262,63,6041,63,47.0,60,6,63,0.0,3,2,62,0.0,2,480,63,8.0,60,3,63,41.0,60,29,63,6.0,60,2,62,650,63,0.73117889130961,63,6041,8262,0.008323003364618,60.0,47.0,5647.0,0.006068431245965,60.0,47.0,7745.0,0.013093289689034,60.0,8.0,611.0,0.738461538461538,63,480,650,,0,63,1.0,63,0.0,63,0.0,63,0.0,63,0.0,63,2.0,63,3.0,63,0,63,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,4,63,4,63,0.0,4,0.0,4,35,0.0,4,63,705,62,1172,62,0,62,0.0,62,1.0,62,1,62,0,62,45,62,98,62,2024-04-27,2024,4,27,Saturday,0,0
MS,0,3,94,1,85,11,0.0,17,7630,97,4899,97,1.0,17,4,97,0.0,51,1,95,0.0,18,510,97,1.0,17,3,97,1.0,17,24,96,0.0,17,3,95,696,97,0.642070773263434,97,4899,7630,0.000697350069735,17.0,1.0,1434.0,0.000379939209726,17.0,1.0,2632.0,0.006060606060606,17.0,1.0,165.0,0.732758620689655,97,510,696,,0,97,0.0,92,0.0,91,1.0,91,0.0,91,0.0,91,1.0,91,2.0,91,0,97,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,20,0.0,16,0.0,30.0,37.0,0.0,0.0,0.0,5,97,1,97,0.0,14,0.0,14,36,1.0,14,97,167,95,311,95,1,95,0.0,89,0.0,89,0,94,0,95,44,95,56,95,2024-04-27,2024,4,27,Saturday,0,0
MI,25,109,19,28,121,4,0.0,25,21038,153,16062,153,46.0,25,24,153,2.0,139,1,149,0.0,25,1688,153,8.0,25,11,153,25.0,25,124,153,21.0,25,10,149,2300,153,0.763475615552809,153,16062,21038,0.016123378899404,25.0,46.0,2853.0,0.012654745529574,25.0,46.0,3635.0,0.016494845360825,25.0,8.0,485.0,0.733913043478261,153,1688,2300,,0,153,0.0,153,1.0,153,1.0,153,1.0,153,8.0,153,3.0,153,8.0,153,2,153,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,1.0,29,1.0,29,0.0,29,0.0,30,0.0,134,744.0,899.0,401.0,0.0,0.0,0.0,6,153,12,153,0.0,23,0.0,23,217,0.0,23,153,644,149,989,149,1,149,0.0,149,0.0,149,0,149,3,149,129,149,171,149,2024-04-27,2024,4,27,Saturday,0,0
DC,0,0,11,0,9,2,0.0,1,2992,11,2327,11,2.0,1,0,11,2.0,10,1,10,0.0,1,263,11,0.0,1,6,11,2.0,1,16,11,0.0,1,2,10,343,11,0.77774064171123,11,2327,2992,0.011049723756906,1.0,2.0,181.0,0.007042253521127,1.0,2.0,284.0,0.0,1.0,0.0,15.0,0.766763848396502,11,263,343,,0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0,11,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,2.0,2,0.0,3,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,6,11,2,11,0.0,1,0.0,1,11,0.0,1,11,257,10,305,10,1,10,0.0,10,0.0,10,0,10,0,10,55,10,87,10,2024-04-27,2024,4,27,Saturday,0,0
OH,1,23,158,3,140,39,39.0,43,26746,182,18938,182,44.0,47,22,182,4.0,57,1,178,0.0,51,2259,182,12.0,48,16,182,44.0,47,93,182,0.0,48,6,178,3413,182,0.708068496223734,182,18938,26746,0.006622516556291,47.0,44.0,6644.0,0.005066206102476,47.0,44.0,8685.0,0.008620689655172,48.0,12.0,1392.0,0.661881043070612,182,2259,3413,,0,182,1.0,182,1.0,182,1.0,182,3.0,182,4.0,182,4.0,182,8.0,182,0,181,0.0,57,0.0,57,0.0,57,1.0,57,1.0,57,0.0,57,2.0,57,0.0,57,0.0,57,0.0,25,11.0,0.0,50.0,0.0,0.0,0.0,13,182,12,182,0.0,27,0.0,25,75,2.0,27,182,762,178,1303,178,0,178,1.0,177,0.0,178,0,152,0,178,158,178,288,178,2024-04-27,2024,4,27,Saturday,0,0
NE,0,4,86,4,74,12,0.0,5,4806,90,3192,90,6.0,3,4,90,5.0,33,0,89,0.0,4,312,90,0.0,3,0,90,6.0,3,24,90,0.0,3,3,89,456,90,0.664169787765293,90,3192,4806,0.013513513513514,3.0,6.0,444.0,0.009677419354839,3.0,6.0,620.0,0.0,3.0,0.0,50.0,0.68421052631579,90,312,456,,0,90,0.0,85,0.0,84,1.0,84,2.0,84,0.0,84,0.0,84,1.0,84,0,90,0.0,5,0.0,5,0.0,5,1.0,5,0.0,5,0.0,5,3.0,5,1.0,5,0.0,7,0.0,4,90.0,0.0,19.0,0.0,0.0,0.0,2,90,2,90,0.0,1,0.0,1,10,0.0,1,90,262,89,351,89,0,89,0.0,83,0.0,83,0,89,1,89,88,89,108,89,2024-04-27,2024,4,27,Saturday,0,0
WI,5,79,52,12,86,38,0.0,19,10982,136,7767,136,25.0,19,10,136,27.0,99,1,133,2.0,19,842,136,3.0,19,7,136,24.0,19,61,136,1.0,19,1,133,1191,136,0.707248224367146,136,7767,10982,0.023674242424242,19.0,25.0,1056.0,0.014343086632243,19.0,25.0,1743.0,0.019354838709677,19.0,3.0,155.0,0.706968933669186,136,842,1191,,0,136,0.0,135,2.0,135,0.0,135,2.0,135,1.0,135,4.0,135,1.0,135,0,136,0.0,22,2.0,22,0.0,22,1.0,22,6.0,22,4.0,22,6.0,22,8.0,22,0.0,23,0.0,21,,,,,,,3,136,7,136,0.0,19,0.0,19,30,0.0,19,136,386,133,541,133,0,133,0.0,132,0.0,132,1,133,0,133,108,133,134,133,2024-04-27,2024,4,27,Saturday,0,0
